	 APPENDING NEW SESSION
[0, 4976]	 IT: 0
[1, 5042]	 IT: 0
[2, 5030]	 IT: 1
[3, 5089]	 IT: 2
[4, 5155]	 IT: 3
[5, 5298]	 IT: 4
[6, 5316]	 IT: 5
[7, 5268]	 IT: 6
